Year,Transect_no,Control,Date,Birds_present,Part_of_transect,Dostance_cat,No_singing_males
2011,TBB05,3,8/06/2011,yes,4,3,1
2011,TBB05,3,8/06/2011,yes,5,1,1
2011,TBB05,3,8/06/2011,yes,5,2,3
2011,TBB05,3,8/06/2011,yes,5,3,1
2011,TBB06,1,1/06/2011,yes,1,2,1
2011,TBB06,1,1/06/2011,yes,2,2,2
2011,TBB06,1,1/06/2011,no,3,,0
2011,TBB06,1,1/06/2011,yes,4,1,2
2011,TBB06,1,1/06/2011,yes,4,2,3
2011,TBB06,1,1/06/2011,yes,5,1,2
2011,TBB06,2,2/06/2011,no,1,,0
2011,TBB06,2,2/06/2011,no,2,,0
2011,TBB06,2,2/06/2011,no,3,,0
2011,TBB06,2,2/06/2011,yes,4,1,1
2011,TBB06,2,2/06/2011,yes,4,2,1
2011,TBB06,2,2/06/2011,yes,5,2,1
2011,TBB06,2,2/06/2011,yes,5,3,1
2011,TBB06,3,3/06/2011,no,1,,0
2011,TBB06,3,3/06/2011,no,2,,0
2011,TBB06,3,3/06/2011,no,3,,0
2011,TBB06,3,3/06/2011,yes,4,2,2
2011,TBB06,3,3/06/2011,no,5,,0
2011,TBB07,1,21/05/2011,yes,1,2,2
2011,TBB07,1,21/05/2011,yes,2,2,1
2011,TBB07,1,21/05/2011,yes,2,3,1
2011,TBB07,1,21/05/2011,no,3,,0
2011,TBB07,1,21/05/2011,no,4,,0
2011,TBB07,1,21/05/2011,yes,5,2,1
2011,TBB07,2,22/05/2011,yes,1,2,1
2011,TBB07,2,22/05/2011,yes,1,3,1
2011,TBB07,2,22/05/2011,yes,2,3,1
2011,TBB07,2,22/05/2011,no,3,,0
2011,TBB07,2,22/05/2011,no,4,,0
2011,TBB07,2,22/05/2011,yes,5,2,1
2011,TBB07,2,22/05/2011,yes,5,3,1
2011,TBB07,3,23/05/2011,yes,1,2,1
2011,TBB07,3,23/05/2011,yes,1,3,1
2011,TBB07,3,23/05/2011,no,2,,0
2011,TBB07,3,23/05/2011,yes,3,3,1
2011,TBB07,3,23/05/2011,no,4,,0
2011,TBB07,3,23/05/2011,yes,5,2,1
2011,TBB07,3,23/05/2011,yes,5,3,1
2011,TBB08,1,1/06/2011,yes,1,1,1
2011,TBB08,1,1/06/2011,yes,1,2,1
2011,TBB08,1,1/06/2011,yes,2,2,1
