"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[1,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[1,1]"
"Ntot[2,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[2,1]"
"Ntot[3,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[3,1]"
"Ntot[4,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[4,1]"
"Ntot[5,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[5,1]"
"Ntot[6,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[6,1]"
"Ntot[7,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[7,1]"
"Ntot[8,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[8,1]"
"Ntot[9,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[9,1]"
"Ntot[10,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[10,1]"
"Ntot[11,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[11,1]"
"Ntot[12,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[12,1]"
"Ntot[13,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[13,1]"
"Ntot[14,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[14,1]"
"Ntot[15,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[15,1]"
"Ntot[16,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[16,1]"
"Ntot[17,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[17,1]"
"Ntot[18,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[18,1]"
"Ntot[20,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[20,1]"
"Ntot[21,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[21,1]"
"Ntot[22,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[22,1]"
"Ntot[23,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[23,1]"
"Ntot[24,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[24,1]"
"Ntot[25,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[25,1]"
"Ntot[26,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[26,1]"
"Ntot[27,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[27,1]"
"Ntot[28,1]",163.925363210803,12.9082972532438,139.801711593824,155.042469845073,163.559349444201,172.382563819008,190.513750109522,0.999979015749007,40000,0,1,"Ntot[28,1]"
