"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[3,6]",108.993575,10.7830232569136,89,102,109,116,132,1.00017843097131,14610,0,1,"Ntot[3,6]"
"Ntot[4,6]",108.993575,10.7830232569136,89,102,109,116,132,1.00017843097131,14610,0,1,"Ntot[4,6]"
"Ntot[5,6]",108.993575,10.7830232569136,89,102,109,116,132,1.00017843097131,14610,0,1,"Ntot[5,6]"
"Ntot[6,6]",108.993575,10.7830232569136,89,102,109,116,132,1.00017843097131,14610,0,1,"Ntot[6,6]"
"Ntot[7,6]",108.993575,10.7830232569136,89,102,109,116,132,1.00017843097131,14610,0,1,"Ntot[7,6]"
"Ntot[8,6]",108.993575,10.7830232569136,89,102,109,116,132,1.00017843097131,14610,0,1,"Ntot[8,6]"
"Ntot[1,7]",101.172775,10.3776667029988,82,94,101,108,123,1.00005581129562,40000,0,1,"Ntot[1,7]"
"Ntot[2,7]",101.172775,10.3776667029988,82,94,101,108,123,1.00005581129562,40000,0,1,"Ntot[2,7]"
"Ntot[3,7]",101.172775,10.3776667029988,82,94,101,108,123,1.00005581129562,40000,0,1,"Ntot[3,7]"
"Ntot[4,7]",101.172775,10.3776667029988,82,94,101,108,123,1.00005581129562,40000,0,1,"Ntot[4,7]"
"Ntot[5,7]",101.172775,10.3776667029988,82,94,101,108,123,1.00005581129562,40000,0,1,"Ntot[5,7]"
"Ntot[6,7]",101.172775,10.3776667029988,82,94,101,108,123,1.00005581129562,40000,0,1,"Ntot[6,7]"
"Ntot[7,7]",101.172775,10.3776667029988,82,94,101,108,123,1.00005581129562,40000,0,1,"Ntot[7,7]"
"Ntot[8,7]",101.172775,10.3776667029988,82,94,101,108,123,1.00005581129562,40000,0,1,"Ntot[8,7]"
"Ntot[1,8]",93.179275,9.83747705833395,75,86,93,99,114,1.00020029854667,12712,0,1,"Ntot[1,8]"
"Ntot[2,8]",93.179275,9.83747705833395,75,86,93,99,114,1.00020029854667,12712,0,1,"Ntot[2,8]"
"Ntot[3,8]",93.179275,9.83747705833395,75,86,93,99,114,1.00020029854667,12712,0,1,"Ntot[3,8]"
"Ntot[4,8]",93.179275,9.83747705833395,75,86,93,99,114,1.00020029854667,12712,0,1,"Ntot[4,8]"
"Ntot[5,8]",93.179275,9.83747705833395,75,86,93,99,114,1.00020029854667,12712,0,1,"Ntot[5,8]"
"Ntot[6,8]",93.179275,9.83747705833395,75,86,93,99,114,1.00020029854667,12712,0,1,"Ntot[6,8]"
"Ntot[7,8]",93.179275,9.83747705833395,75,86,93,99,114,1.00020029854667,12712,0,1,"Ntot[7,8]"
"Ntot[8,8]",93.179275,9.83747705833395,75,86,93,99,114,1.00020029854667,12712,0,1,"Ntot[8,8]"
"Ntot[1,9]",84.82925,9.9446878713171,67,78,84,91,106,1.00014830308085,14920,0,1,"Ntot[1,9]"
"Ntot[2,9]",84.82925,9.9446878713171,67,78,84,91,106,1.00014830308085,14920,0,1,"Ntot[2,9]"
"Ntot[3,9]",84.82925,9.9446878713171,67,78,84,91,106,1.00014830308085,14920,0,1,"Ntot[3,9]"
"Ntot[4,9]",84.82925,9.9446878713171,67,78,84,91,106,1.00014830308085,14920,0,1,"Ntot[4,9]"
"Ntot[5,9]",84.82925,9.9446878713171,67,78,84,91,106,1.00014830308085,14920,0,1,"Ntot[5,9]"
"Ntot[6,9]",84.82925,9.9446878713171,67,78,84,91,106,1.00014830308085,14920,0,1,"Ntot[6,9]"
"Ntot[7,9]",84.82925,9.9446878713171,67,78,84,91,106,1.00014830308085,14920,0,1,"Ntot[7,9]"
"Ntot[8,9]",84.82925,9.9446878713171,67,78,84,91,106,1.00014830308085,14920,0,1,"Ntot[8,9]"
"Ntot[1,10]",60.222575,7.53880336713196,46,55,60,65,76,1.00025870169879,8420,0,1,"Ntot[1,10]"
"Ntot[2,10]",60.222575,7.53880336713196,46,55,60,65,76,1.00025870169879,8420,0,1,"Ntot[2,10]"
"Ntot[3,10]",60.222575,7.53880336713196,46,55,60,65,76,1.00025870169879,8420,0,1,"Ntot[3,10]"
"Ntot[4,10]",60.222575,7.53880336713196,46,55,60,65,76,1.00025870169879,8420,0,1,"Ntot[4,10]"
"Ntot[5,10]",60.222575,7.53880336713196,46,55,60,65,76,1.00025870169879,8420,0,1,"Ntot[5,10]"
"Ntot[6,10]",60.222575,7.53880336713196,46,55,60,65,76,1.00025870169879,8420,0,1,"Ntot[6,10]"
"Ntot[7,10]",60.222575,7.53880336713196,46,55,60,65,76,1.00025870169879,8420,0,1,"Ntot[7,10]"
"Ntot[8,10]",60.222575,7.53880336713196,46,55,60,65,76,1.00025870169879,8420,0,1,"Ntot[8,10]"
"Ntot[1,11]",41.4181,6.21297492481946,30,37,41,46,54,1.00005728060568,24985,0,1,"Ntot[1,11]"
"Ntot[2,11]",41.4181,6.21297492481946,30,37,41,46,54,1.00005728060568,24985,0,1,"Ntot[2,11]"
"Ntot[3,11]",41.4181,6.21297492481946,30,37,41,46,54,1.00005728060568,24985,0,1,"Ntot[3,11]"
"Ntot[4,11]",41.4181,6.21297492481946,30,37,41,46,54,1.00005728060568,24985,0,1,"Ntot[4,11]"
"Ntot[5,11]",41.4181,6.21297492481946,30,37,41,46,54,1.00005728060568,24985,0,1,"Ntot[5,11]"
"Ntot[6,11]",41.4181,6.21297492481946,30,37,41,46,54,1.00005728060568,24985,0,1,"Ntot[6,11]"
"Ntot[7,11]",41.4181,6.21297492481946,30,37,41,46,54,1.00005728060568,24985,0,1,"Ntot[7,11]"
"Ntot[8,11]",41.4181,6.21297492481946,30,37,41,46,54,1.00005728060568,24985,0,1,"Ntot[8,11]"
"Ntot[1,12]",34.219425,5.35778828592153,24,30,34,38,45,0.999965818903083,40000,0,1,"Ntot[1,12]"
"Ntot[2,12]",34.219425,5.35778828592153,24,30,34,38,45,0.999965818903083,40000,0,1,"Ntot[2,12]"
"Ntot[3,12]",34.219425,5.35778828592153,24,30,34,38,45,0.999965818903083,40000,0,1,"Ntot[3,12]"
"Ntot[4,12]",34.219425,5.35778828592153,24,30,34,38,45,0.999965818903083,40000,0,1,"Ntot[4,12]"
"Ntot[5,12]",34.219425,5.35778828592153,24,30,34,38,45,0.999965818903083,40000,0,1,"Ntot[5,12]"
"Ntot[6,12]",34.219425,5.35778828592153,24,30,34,38,45,0.999965818903083,40000,0,1,"Ntot[6,12]"
"Ntot[7,12]",34.219425,5.35778828592153,24,30,34,38,45,0.999965818903083,40000,0,1,"Ntot[7,12]"
"Ntot[8,12]",34.219425,5.35778828592153,24,30,34,38,45,0.999965818903083,40000,0,1,"Ntot[8,12]"
"Ntot[1,13]",26.391675,4.72630660703774,18,23,26,29,36,1.00016618286945,12390,0,1,"Ntot[1,13]"
"Ntot[2,13]",26.391675,4.72630660703774,18,23,26,29,36,1.00016618286945,12390,0,1,"Ntot[2,13]"
"Ntot[3,13]",26.391675,4.72630660703774,18,23,26,29,36,1.00016618286945,12390,0,1,"Ntot[3,13]"
"Ntot[4,13]",26.391675,4.72630660703774,18,23,26,29,36,1.00016618286945,12390,0,1,"Ntot[4,13]"
"Ntot[5,13]",26.391675,4.72630660703774,18,23,26,29,36,1.00016618286945,12390,0,1,"Ntot[5,13]"
"Ntot[6,13]",26.391675,4.72630660703774,18,23,26,29,36,1.00016618286945,12390,0,1,"Ntot[6,13]"
"Ntot[7,13]",26.391675,4.72630660703774,18,23,26,29,36,1.00016618286945,12390,0,1,"Ntot[7,13]"
"Ntot[8,13]",26.391675,4.72630660703774,18,23,26,29,36,1.00016618286945,12390,0,1,"Ntot[8,13]"
"Ntot[1,14]",26.275425,4.41062948009525,18,23,26,29,36,1.00019222583156,11207,0,1,"Ntot[1,14]"
"Ntot[2,14]",26.275425,4.41062948009525,18,23,26,29,36,1.00019222583156,11207,0,1,"Ntot[2,14]"
"Ntot[3,14]",26.275425,4.41062948009525,18,23,26,29,36,1.00019222583156,11207,0,1,"Ntot[3,14]"
"Ntot[4,14]",26.275425,4.41062948009525,18,23,26,29,36,1.00019222583156,11207,0,1,"Ntot[4,14]"
"Ntot[5,14]",26.275425,4.41062948009525,18,23,26,29,36,1.00019222583156,11207,0,1,"Ntot[5,14]"
"Ntot[6,14]",26.275425,4.41062948009525,18,23,26,29,36,1.00019222583156,11207,0,1,"Ntot[6,14]"
"Ntot[7,14]",26.275425,4.41062948009525,18,23,26,29,36,1.00019222583156,11207,0,1,"Ntot[7,14]"
"Ntot[8,14]",26.275425,4.41062948009525,18,23,26,29,36,1.00019222583156,11207,0,1,"Ntot[8,14]"
"Ntot[1,15]",26.966175,4.46022737201594,19,24,27,30,37,1.00001279524714,40000,0,1,"Ntot[1,15]"
"Ntot[2,15]",26.966175,4.46022737201594,19,24,27,30,37,1.00001279524714,40000,0,1,"Ntot[2,15]"
"Ntot[3,15]",26.966175,4.46022737201594,19,24,27,30,37,1.00001279524714,40000,0,1,"Ntot[3,15]"
"Ntot[4,15]",26.966175,4.46022737201594,19,24,27,30,37,1.00001279524714,40000,0,1,"Ntot[4,15]"
"Ntot[5,15]",26.966175,4.46022737201594,19,24,27,30,37,1.00001279524714,40000,0,1,"Ntot[5,15]"
"Ntot[6,15]",26.966175,4.46022737201594,19,24,27,30,37,1.00001279524714,40000,0,1,"Ntot[6,15]"
"Ntot[7,15]",26.966175,4.46022737201594,19,24,27,30,37,1.00001279524714,40000,0,1,"Ntot[7,15]"
"Ntot[8,15]",26.966175,4.46022737201594,19,24,27,30,37,1.00001279524714,40000,0,1,"Ntot[8,15]"
"Ntot[1,16]",28.018775,4.85842182256133,20,25,28,31,39,1.00007834414497,29162,0,1,"Ntot[1,16]"
"Ntot[2,16]",28.018775,4.85842182256133,20,25,28,31,39,1.00007834414497,29162,0,1,"Ntot[2,16]"
"Ntot[3,16]",28.018775,4.85842182256133,20,25,28,31,39,1.00007834414497,29162,0,1,"Ntot[3,16]"
"Ntot[4,16]",28.018775,4.85842182256133,20,25,28,31,39,1.00007834414497,29162,0,1,"Ntot[4,16]"
"Ntot[5,16]",28.018775,4.85842182256133,20,25,28,31,39,1.00007834414497,29162,0,1,"Ntot[5,16]"
"Ntot[6,16]",28.018775,4.85842182256133,20,25,28,31,39,1.00007834414497,29162,0,1,"Ntot[6,16]"
"Ntot[7,16]",28.018775,4.85842182256133,20,25,28,31,39,1.00007834414497,29162,0,1,"Ntot[7,16]"
"Ntot[8,16]",28.018775,4.85842182256133,20,25,28,31,39,1.00007834414497,29162,0,1,"Ntot[8,16]"
"Ntot[1,17]",23.021725,4.29835607191843,16,20,23,26,32,1.00003345706601,33551,0,1,"Ntot[1,17]"
"Ntot[2,17]",23.021725,4.29835607191843,16,20,23,26,32,1.00003345706601,33551,0,1,"Ntot[2,17]"
"Ntot[3,17]",23.021725,4.29835607191843,16,20,23,26,32,1.00003345706601,33551,0,1,"Ntot[3,17]"
"Ntot[4,17]",23.021725,4.29835607191843,16,20,23,26,32,1.00003345706601,33551,0,1,"Ntot[4,17]"
"Ntot[5,17]",23.021725,4.29835607191843,16,20,23,26,32,1.00003345706601,33551,0,1,"Ntot[5,17]"
"Ntot[6,17]",23.021725,4.29835607191843,16,20,23,26,32,1.00003345706601,33551,0,1,"Ntot[6,17]"
"Ntot[7,17]",23.021725,4.29835607191843,16,20,23,26,32,1.00003345706601,33551,0,1,"Ntot[7,17]"
"Ntot[8,17]",23.021725,4.29835607191843,16,20,23,26,32,1.00003345706601,33551,0,1,"Ntot[8,17]"
"Ntot[1,18]",14.71415,3.29717478480275,9,12,15,17,22,1.00002457242014,38894,0,1,"Ntot[1,18]"
"Ntot[2,18]",14.71415,3.29717478480275,9,12,15,17,22,1.00002457242014,38894,0,1,"Ntot[2,18]"
"Ntot[3,18]",14.71415,3.29717478480275,9,12,15,17,22,1.00002457242014,38894,0,1,"Ntot[3,18]"
"Ntot[4,18]",14.71415,3.29717478480275,9,12,15,17,22,1.00002457242014,38894,0,1,"Ntot[4,18]"
"Ntot[5,18]",14.71415,3.29717478480275,9,12,15,17,22,1.00002457242014,38894,0,1,"Ntot[5,18]"
"Ntot[6,18]",14.71415,3.29717478480275,9,12,15,17,22,1.00002457242014,38894,0,1,"Ntot[6,18]"
"Ntot[7,18]",14.71415,3.29717478480275,9,12,15,17,22,1.00002457242014,38894,0,1,"Ntot[7,18]"
"Ntot[8,18]",14.71415,3.29717478480275,9,12,15,17,22,1.00002457242014,38894,0,1,"Ntot[8,18]"
"Ntot[1,19]",11.09485,2.74571337743924,7,9,11,13,17,0.999993514321792,40000,0,1,"Ntot[1,19]"
