"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[1,1]",161.602770725793,15.218469045268,133.248095214483,151.103932922766,161.129829759739,171.561848645146,193.001455982598,1.00009316659309,20288,0,1,"Ntot[1,1]"
"Ntot[2,1]",161.602770725793,15.218469045268,133.248095214483,151.103932922766,161.129829759739,171.561848645146,193.001455982598,1.00009316659309,20288,0,1,"Ntot[2,1]"
"Ntot[3,1]",161.602770725793,15.218469045268,133.248095214483,151.103932922766,161.129829759739,171.561848645146,193.001455982598,1.00009316659309,20288,0,1,"Ntot[3,1]"
"Ntot[4,1]",161.602770725793,15.218469045268,133.248095214483,151.103932922766,161.129829759739,171.561848645146,193.001455982598,1.00009316659309,20288,0,1,"Ntot[4,1]"
"Ntot[5,1]",161.602770725793,15.218469045268,133.248095214483,151.103932922766,161.129829759739,171.561848645146,193.001455982598,1.00009316659309,20288,0,1,"Ntot[5,1]"
"Ntot[6,1]",161.602770725793,15.218469045268,133.248095214483,151.103932922766,161.129829759739,171.561848645146,193.001455982598,1.00009316659309,20288,0,1,"Ntot[6,1]"
"Ntot[7,1]",161.602770725793,15.218469045268,133.248095214483,151.103932922766,161.129829759739,171.561848645146,193.001455982598,1.00009316659309,20288,0,1,"Ntot[7,1]"
"Ntot[8,1]",161.602770725793,15.218469045268,133.248095214483,151.103932922766,161.129829759739,171.561848645146,193.001455982598,1.00009316659309,20288,0,1,"Ntot[8,1]"
"Ntot[9,1]",161.602770725793,15.218469045268,133.248095214483,151.103932922766,161.129829759739,171.561848645146,193.001455982598,1.00009316659309,20288,0,1,"Ntot[9,1]"
"Ntot[10,1]",161.602770725793,15.218469045268,133.248095214483,151.103932922766,161.129829759739,171.561848645146,193.001455982598,1.00009316659309,20288,0,1,"Ntot[10,1]"
"Ntot[11,1]",161.602770725793,15.218469045268,133.248095214483,151.103932922766,161.129829759739,171.561848645146,193.001455982598,1.00009316659309,20288,0,1,"Ntot[11,1]"
