parm,mean,sd,lcl,25%,median,75%,ucl,Rhat,n.eff,overlap0,f,parm
"db[37,1]",0.249582667,0.070087441,0.112373351,0.202188305,0.249214165,0.296461211,0.387407893,1.000097886,26771,0,1,"db[37,1]"
"db[38,1]",0.249071435,0.070086324,0.111526222,0.201740082,0.248812559,0.295933189,0.386761259,1.000113545,24047,0,1,"db[38,1]"
"db[1,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[1,2]"
"db[2,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[2,2]"
"db[3,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[3,2]"
"db[4,2]",0.250237109,0.070041621,0.112532284,0.20300099,0.250158121,0.297387769,0.385961039,0.999961513,40000,0,1,"db[4,2]"
"db[5,2]",0.249825378,0.070120705,0.113611798,0.202235875,0.24932938,0.2970697,0.387798078,1.000113158,15474,0,1,"db[5,2]"
"db[6,2]",0.249729597,0.070302467,0.113405582,0.20215641,0.249212173,0.297431108,0.387311542,1.000052409,29432,0,1,"db[6,2]"
"db[7,2]",0.249885779,0.069922493,0.113255291,0.202394223,0.250250487,0.297028056,0.38637377,1.000064533,33569,0,1,"db[7,2]"
"db[8,2]",0.249856141,0.070206198,0.111911398,0.202477251,0.250037258,0.29685685,0.387652514,1.000141951,15751,0,1,"db[8,2]"
"db[9,2]",0.250358794,0.069656599,0.114550356,0.203469839,0.250264101,0.297536886,0.387181772,1.000023326,40000,0,1,"db[9,2]"
"db[10,2]",0.250118078,0.070188363,0.112365918,0.202764051,0.250261287,0.297469415,0.387696645,1.000086464,20375,0,1,"db[10,2]"
"db[11,2]",0.250045828,0.069664511,0.113629512,0.202986408,0.249910832,0.296938504,0.38612624,0.999986008,40000,0,1,"db[11,2]"
"db[12,2]",0.250209128,0.069905861,0.112066385,0.203319177,0.250569746,0.297309271,0.386552721,1.000039397,40000,0,1,"db[12,2]"
"db[13,2]",0.25072201,0.069643687,0.113757797,0.204100514,0.250876846,0.297662418,0.388113554,1.000141479,13872,0,1,"db[13,2]"
"db[14,2]",0.250001587,0.069764307,0.112064972,0.203185589,0.250287344,0.296647554,0.386882125,1.000226842,10144,0,1,"db[14,2]"
"db[15,2]",0.250232514,0.069836213,0.113185936,0.203595948,0.249721017,0.297302036,0.387355775,1.00008055,19646,0,1,"db[15,2]"
