"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[12,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[12,1]"
"Ntot[13,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[13,1]"
"Ntot[14,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[14,1]"
"Ntot[15,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[15,1]"
"Ntot[16,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[16,1]"
"Ntot[17,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[17,1]"
"Ntot[18,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[18,1]"
"Ntot[20,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[20,1]"
"Ntot[21,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[21,1]"
"Ntot[22,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[22,1]"
"Ntot[23,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[23,1]"
"Ntot[24,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[24,1]"
"Ntot[25,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[25,1]"
"Ntot[26,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[26,1]"
"Ntot[27,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[27,1]"
"Ntot[28,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[28,1]"
"Ntot[29,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[29,1]"
"Ntot[30,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[30,1]"
"Ntot[31,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[31,1]"
"Ntot[32,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[32,1]"
"Ntot[33,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[33,1]"
"Ntot[34,1]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[34,1]"
