"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[1,1]",161.445053328551,15.2685310758212,132.643380717529,151.080137392842,160.962411868,171.413076927128,192.83017618463,1.0003143973069,7085,0,1,"Ntot[1,1]"
"Ntot[2,1]",161.445053328551,15.2685310758212,132.643380717529,151.080137392842,160.962411868,171.413076927128,192.83017618463,1.0003143973069,7085,0,1,"Ntot[2,1]"
"Ntot[3,1]",161.445053328551,15.2685310758212,132.643380717529,151.080137392842,160.962411868,171.413076927128,192.83017618463,1.0003143973069,7085,0,1,"Ntot[3,1]"
"Ntot[4,1]",161.445053328551,15.2685310758212,132.643380717529,151.080137392842,160.962411868,171.413076927128,192.83017618463,1.0003143973069,7085,0,1,"Ntot[4,1]"
"Ntot[5,1]",161.445053328551,15.2685310758212,132.643380717529,151.080137392842,160.962411868,171.413076927128,192.83017618463,1.0003143973069,7085,0,1,"Ntot[5,1]"
"Ntot[6,1]",161.445053328551,15.2685310758212,132.643380717529,151.080137392842,160.962411868,171.413076927128,192.83017618463,1.0003143973069,7085,0,1,"Ntot[6,1]"
"Ntot[7,1]",161.445053328551,15.2685310758212,132.643380717529,151.080137392842,160.962411868,171.413076927128,192.83017618463,1.0003143973069,7085,0,1,"Ntot[7,1]"
"Ntot[8,1]",161.445053328551,15.2685310758212,132.643380717529,151.080137392842,160.962411868,171.413076927128,192.83017618463,1.0003143973069,7085,0,1,"Ntot[8,1]"
"Ntot[9,1]",161.445053328551,15.2685310758212,132.643380717529,151.080137392842,160.962411868,171.413076927128,192.83017618463,1.0003143973069,7085,0,1,"Ntot[9,1]"
"Ntot[10,1]",161.445053328551,15.2685310758212,132.643380717529,151.080137392842,160.962411868,171.413076927128,192.83017618463,1.0003143973069,7085,0,1,"Ntot[10,1]"
"Ntot[11,1]",161.445053328551,15.2685310758212,132.643380717529,151.080137392842,160.962411868,171.413076927128,192.83017618463,1.0003143973069,7085,0,1,"Ntot[11,1]"
"Ntot[12,1]",161.445053328551,15.2685310758212,132.643380717529,151.080137392842,160.962411868,171.413076927128,192.83017618463,1.0003143973069,7085,0,1,"Ntot[12,1]"
"Ntot[13,1]",161.445053328551,15.2685310758212,132.643380717529,151.080137392842,160.962411868,171.413076927128,192.83017618463,1.0003143973069,7085,0,1,"Ntot[13,1]"
"Ntot[14,1]",161.445053328551,15.2685310758212,132.643380717529,151.080137392842,160.962411868,171.413076927128,192.83017618463,1.0003143973069,7085,0,1,"Ntot[14,1]"
"Ntot[15,1]",161.445053328551,15.2685310758212,132.643380717529,151.080137392842,160.962411868,171.413076927128,192.83017618463,1.0003143973069,7085,0,1,"Ntot[15,1]"
"Ntot[1,2]",137.8497,12.9822041021771,113,129,138,146,164,1.0000429639781,30069,0,1,"Ntot[1,2]"
"Ntot[2,2]",137.8497,12.9822041021771,113,129,138,146,164,1.0000429639781,30069,0,1,"Ntot[2,2]"
"Ntot[3,2]",137.8497,12.9822041021771,113,129,138,146,164,1.0000429639781,30069,0,1,"Ntot[3,2]"
"Ntot[4,2]",137.8497,12.9822041021771,113,129,138,146,164,1.0000429639781,30069,0,1,"Ntot[4,2]"
"Ntot[5,2]",137.8497,12.9822041021771,113,129,138,146,164,1.0000429639781,30069,0,1,"Ntot[5,2]"
"Ntot[6,2]",137.8497,12.9822041021771,113,129,138,146,164,1.0000429639781,30069,0,1,"Ntot[6,2]"
"Ntot[7,2]",137.8497,12.9822041021771,113,129,138,146,164,1.0000429639781,30069,0,1,"Ntot[7,2]"
"Ntot[8,2]",137.8497,12.9822041021771,113,129,138,146,164,1.0000429639781,30069,0,1,"Ntot[8,2]"
"Ntot[9,2]",137.8497,12.9822041021771,113,129,138,146,164,1.0000429639781,30069,0,1,"Ntot[9,2]"
"Ntot[10,2]",137.8497,12.9822041021771,113,129,138,146,164,1.0000429639781,30069,0,1,"Ntot[10,2]"
"Ntot[11,2]",137.8497,12.9822041021771,113,129,138,146,164,1.0000429639781,30069,0,1,"Ntot[11,2]"
"Ntot[12,2]",137.8497,12.9822041021771,113,129,138,146,164,1.0000429639781,30069,0,1,"Ntot[12,2]"
"Ntot[13,2]",137.8497,12.9822041021771,113,129,138,146,164,1.0000429639781,30069,0,1,"Ntot[13,2]"
"Ntot[14,2]",137.8497,12.9822041021771,113,129,138,146,164,1.0000429639781,30069,0,1,"Ntot[14,2]"
"Ntot[15,2]",137.8497,12.9822041021771,113,129,138,146,164,1.0000429639781,30069,0,1,"Ntot[15,2]"
"Ntot[1,3]",130.05985,12.1678703725934,107,122,130,138,155,1.00000495725344,40000,0,1,"Ntot[1,3]"
"Ntot[2,3]",130.05985,12.1678703725934,107,122,130,138,155,1.00000495725344,40000,0,1,"Ntot[2,3]"
