"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"phi.ad",0.379897611930144,0.0370498072095189,0.305732888621698,0.355489000844835,0.380077136783634,0.404855493644641,0.452157206064009,1.00026492034292,11568,0,1,"phi.ad"
"mean.p[1]",0.585246286452808,0.0383414876601957,0.510608459264463,0.559467416146873,0.585061174004362,0.611255845900835,0.660570872014918,1.00016518960785,12783,0,1,"mean.p[1]"
"mean.p[2]",0.25139763686591,0.0379744178940289,0.177485086136556,0.225358852736082,0.251357867117004,0.277070182325975,0.325604475454499,0.999995519449381,40000,0,1,"mean.p[2]"
"mphi[1]",0.367299028850493,0.0347225855437979,0.302123992704756,0.343635874779183,0.366078876238236,0.390039115623317,0.438682845424682,1.00021757525126,12269,0,1,"mphi[1]"
"mphi[2]",0.286608928635786,0.0902825341881136,0.131203901606213,0.22128288062953,0.279987847917728,0.345139839599964,0.479220185286366,1.00001784862525,40000,0,1,"mphi[2]"
"mfec1",3.13756961208954,0.157690342454901,2.82802550868157,3.0312892734287,3.13742815906655,3.24489143210049,3.4428220886994,1.0001070478259,22093,0,1,"mfec1"
"mfec2",2.75104574510056,0.20007234694194,2.35706662548811,2.614840066589,2.75278115314961,2.88478352920097,3.14775506157658,1.00001717884062,39110,0,1,"mfec2"
"mean.lambda",0.834983650068694,0.089822050128841,0.784419960452657,0.832592242014715,0.846338655240179,0.856900693725503,0.874504491991096,1.00055029377932,40000,0,1,"mean.lambda"
"prop.males",0.560339794671513,0.00983326752788662,0.54127368393379,0.553740298468265,0.56013292878624,0.567003633513863,0.579737928325001,1.00006011310562,35225,0,1,"prop.males"
"db[1,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[1,1]"
"db[2,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[2,1]"
"db[3,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[3,1]"
"db[4,1]",0.249321715904778,0.0698841217890078,0.111145377378608,0.202088599468931,0.249265149761506,0.296393131526235,0.386217046421174,1.00010912304153,20368,0,1,"db[4,1]"
"db[5,1]",0.24995024477435,0.0694388557935794,0.112656451156091,0.203226461113517,0.249621077078225,0.296960360705037,0.386315359611632,1.00007273618086,40000,0,1,"db[5,1]"
"db[6,1]",0.250725382211073,0.0690706175656701,0.115334965165405,0.203865361313461,0.25068030092245,0.297585670946173,0.385856861587123,1.00000982039583,40000,0,1,"db[6,1]"
"db[7,1]",0.250824201855318,0.0698543169751033,0.1128353571706,0.204021003403241,0.250719324987124,0.298126441122083,0.387515303874908,0.999970299312382,40000,0,1,"db[7,1]"
"db[8,1]",0.250265550021269,0.0699685440688917,0.112088633040482,0.203109070530332,0.250403881376223,0.297118018665569,0.387163578830165,0.999967898090413,40000,0,1,"db[8,1]"
"db[9,1]",0.249872074774389,0.0699300297679068,0.112514875427802,0.202819990684713,0.249542019495786,0.297374293519064,0.386761949127734,1.00000451920916,40000,0,1,"db[9,1]"
"db[10,1]",0.249998971660905,0.0694225879283726,0.114399849282171,0.202957981526525,0.24989528059149,0.296716932573975,0.387086255961882,1.00001101394472,40000,0,1,"db[10,1]"
"db[11,1]",0.249494822043387,0.0700741202715485,0.112796459608843,0.202073502810142,0.249797367348598,0.296610761120102,0.386558892407873,0.999992897262468,40000,0,1,"db[11,1]"
"db[12,1]",0.249961069889897,0.0697954238627661,0.112967503724667,0.202947291349262,0.249510458163207,0.297270405002329,0.38787721953877,1.0000008455128,40000,0,1,"db[12,1]"
"db[13,1]",0.250363020383367,0.070022435796544,0.113043815540907,0.203049012036655,0.250270085741659,0.297818464498936,0.387920093717291,1.00004859853689,28706,0,1,"db[13,1]"
"db[14,1]",0.249562680633365,0.0700486209786518,0.112292986038408,0.202016426362788,0.249822932710736,0.297103646746522,0.386750676069098,1.00002235600682,40000,0,1,"db[14,1]"
"db[15,1]",0.250359200482829,0.070308105513265,0.111397465229685,0.203473987151571,0.25057801421748,0.297385840275101,0.387907163865378,1.00007169391217,34397,0,1,"db[15,1]"
"db[16,1]",0.250207241409816,0.0700574891160975,0.112979583215791,0.202786940929342,0.250649619772244,0.297189769800789,0.388069808024363,1.00004345368135,28192,0,1,"db[16,1]"
"db[17,1]",0.249679237158428,0.0698815394246476,0.112782419691457,0.202977765436936,0.249782050900315,0.296669014821179,0.385450448303928,1.00004480871468,40000,0,1,"db[17,1]"
"db[18,1]",0.250236270180897,0.0696920447809606,0.114395647349962,0.20331265136928,0.250435905802871,0.297154369356661,0.387158283072848,1.0000049025314,40000,0,1,"db[18,1]"
"db[19,1]",0.25016852059977,0.0702361817272,0.112976806876184,0.202746729165444,0.250109088820561,0.297495867750395,0.38807216855254,1.00002099820768,39524,0,1,"db[19,1]"
"db[20,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[20,1]"
"db[21,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[21,1]"
"db[22,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[22,1]"
"db[23,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[23,1]"
"db[24,1]",0.249867813880312,0.0702700998584161,0.113082532564226,0.202167594458571,0.249739128104836,0.297080738224828,0.387767491915655,1.0000751265276,27340,0,1,"db[24,1]"
"db[25,1]",0.249215562674385,0.0694989971652672,0.113017762596975,0.202142455013323,0.248991223398241,0.296250837107983,0.386031087538478,1.00005819532546,24091,0,1,"db[25,1]"
"db[26,1]",0.250519929286456,0.0697393574181969,0.11399757094646,0.203479525282065,0.249961081252616,0.298075596332247,0.386735162460031,0.999953868803587,40000,0,1,"db[26,1]"
"db[27,1]",0.249616815300811,0.0699427767807495,0.113153556485006,0.202017825301945,0.249874899282073,0.296743996770292,0.387855128057665,1.0001048933996,18761,0,1,"db[27,1]"
"db[28,1]",0.25029858164855,0.0698538025416945,0.113006280274818,0.203138588908477,0.250335475420956,0.297898093159598,0.38643841449063,1.00003690934196,40000,0,1,"db[28,1]"
"db[29,1]",0.250258144073084,0.0698355044208974,0.113500632748246,0.202829206291687,0.250284964484332,0.297371916478305,0.387428814341501,1.00001303978573,40000,0,1,"db[29,1]"
"db[30,1]",0.250688725833037,0.0699827598074393,0.11400427582435,0.203263096764667,0.251127535496464,0.298033041353076,0.388354619959883,1.00001088564986,40000,0,1,"db[30,1]"
"db[31,1]",0.249782009651374,0.0698534749901826,0.112989996729265,0.202999311950893,0.249982900092597,0.296547068581253,0.38566309503141,1.00001526076214,40000,0,1,"db[31,1]"
