"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"phi.ad",0.387224965782499,0.0376556415326519,0.312746256993283,0.361984110378275,0.387499404342463,0.412858704666581,0.460079808754399,1.0002830116534,14884,0,1,"phi.ad"
"mean.p[1]",0.761735343969257,0.121426182923206,0.500460378267599,0.680399543088371,0.774121933955996,0.854819340261836,0.958394470121071,1.00000698737135,40000,0,1,"mean.p[1]"
"mean.p[2]",0.248541513642519,0.11067753146711,0.085949939015495,0.16835224732199,0.230781219768242,0.309960625192645,0.51120889389153,1.00005727923254,40000,0,1,"mean.p[2]"
"mphi[1]",0.357699789496052,0.0353988181157599,0.291162026455559,0.333561572465367,0.356699855617323,0.380870289317322,0.430553776956332,1.00031060679391,8225,0,1,"mphi[1]"
"mphi[2]",0.280339411539275,0.0900443930749472,0.12583468222056,0.214769022413956,0.27327672319868,0.337999613347255,0.47339729966729,1.00046079664514,7631,0,1,"mphi[2]"
"mfec1",3.15703006808076,0.157344104983262,2.85247363259284,3.05105624123116,3.156728971067,3.26315502782462,3.46572734983378,1.00023574511919,11541,0,1,"mfec1"
"mfec2",2.75160520489307,0.200100556680897,2.36195498317872,2.61561506596361,2.75097354355,2.88818982475345,3.14273935164817,1.00020618747203,11990,0,1,"mfec2"
"mean.lambda",0.834693169802936,0.0895895791756235,0.784411585179559,0.831996949030914,0.846100145801243,0.856494373911848,0.874387800706377,1.00040205719223,40000,0,1,"mean.lambda"
"prop.males",0.559883855209499,0.00987571334820946,0.540897169487225,0.553274540939456,0.559757302705441,0.566488701890675,0.579329371886063,1.00004765067837,32705,0,1,"prop.males"
"db[1,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[1,1]"
"db[2,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[2,1]"
"db[3,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[3,1]"
"db[4,1]",0.250387815761303,0.0697606312637642,0.113142533195217,0.203605727640508,0.250538258063072,0.297226851406134,0.388441438326901,1.00003579539975,40000,0,1,"db[4,1]"
"db[5,1]",0.249796817070156,0.0695130698345117,0.11379761564136,0.202931640622037,0.249299329870696,0.296767878234443,0.386224181073533,1.00002934106504,40000,0,1,"db[5,1]"
"db[6,1]",0.249903210967014,0.0702629197979852,0.113203469899141,0.202697442191965,0.249685293262285,0.297295192379056,0.386407274800921,1.00002094118436,40000,0,1,"db[6,1]"
"db[7,1]",0.249804816758513,0.069819618689899,0.113473731830636,0.202579050306755,0.25006064581086,0.296883590434803,0.387497452026059,1.00004424375253,40000,0,1,"db[7,1]"
"db[8,1]",0.249446167914136,0.0701487965205745,0.112832585159325,0.202249121236485,0.249393711394058,0.297078702526217,0.386982668676436,1.00004977213955,28171,0,1,"db[8,1]"
"db[9,1]",0.250459893376307,0.0701925568665898,0.112428997430666,0.203433537526531,0.250194688036352,0.297687277839599,0.388629545474208,1.00002365375919,39923,0,1,"db[9,1]"
"db[10,1]",0.249955401229916,0.06990861862727,0.113876436229394,0.202782076296823,0.249805782847018,0.296667160207045,0.387997447857784,0.999993142891473,40000,0,1,"db[10,1]"
"db[11,1]",0.249932988723215,0.0699286550518017,0.112354180451447,0.20255317418521,0.250069360341411,0.297254463101173,0.387326249352529,1.00005142961872,39691,0,1,"db[11,1]"
"db[12,1]",0.250114994240754,0.0697382263448797,0.112689213568327,0.202907871195005,0.25038031302738,0.297019523704953,0.386305856036301,1.00000318531815,40000,0,1,"db[12,1]"
"db[13,1]",0.250486418479845,0.0698967490888237,0.112998317365614,0.203293114600546,0.250444914453713,0.298290439276843,0.386840014451952,1.00006603526505,27338,0,1,"db[13,1]"
"db[14,1]",0.250280151414004,0.0696979484532408,0.112592051869064,0.203147630198532,0.250550929856584,0.297539580533246,0.386601108211735,1.00002671964952,40000,0,1,"db[14,1]"
"db[15,1]",0.250559505212328,0.0701978486393982,0.112742351344163,0.203515973497086,0.250815482213128,0.297885281510225,0.38711207262955,0.999974192379956,40000,0,1,"db[15,1]"
"db[16,1]",0.250211386212737,0.069901284587968,0.114178802875014,0.202765908080716,0.250016469408614,0.296930037854054,0.388124262384263,1.00008322542326,26662,0,1,"db[16,1]"
"db[17,1]",0.250233418746264,0.0694722679664245,0.115180085772134,0.203025494324828,0.250460590905878,0.297454491613526,0.386814515320862,1.00006457702245,22516,0,1,"db[17,1]"
"db[18,1]",0.250675946823227,0.0701602508882512,0.113303905663823,0.203127694017083,0.25022047163485,0.298446672483755,0.388100261048976,1.00001653219519,40000,0,1,"db[18,1]"
"db[19,1]",0.249862335338752,0.0701811779614692,0.112547403214591,0.202290254120544,0.250283125293536,0.296900070531316,0.387802240140824,1.00004473134049,40000,0,1,"db[19,1]"
"db[20,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[20,1]"
"db[21,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[21,1]"
"db[22,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[22,1]"
"db[23,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[23,1]"
"db[24,1]",0.249507349123507,0.0701363564011644,0.112887982639381,0.202307177664265,0.2492876464991,0.29668581621627,0.38806193719467,0.999991644541214,40000,0,1,"db[24,1]"
"db[25,1]",0.250055086211864,0.0697334705329479,0.114043671896383,0.202710501082063,0.25007587883294,0.297164007352962,0.386703563887837,0.999986697252298,40000,0,1,"db[25,1]"
"db[26,1]",0.249911404214711,0.0698552173905344,0.113426113446893,0.202761293295733,0.249521599782903,0.296858991093582,0.38747604974009,0.999993386039624,40000,0,1,"db[26,1]"
"db[27,1]",0.250668568627972,0.0694894269628821,0.115225954783623,0.203136008776465,0.250960810371137,0.297646977192042,0.387566911975131,1.00006810659113,40000,0,1,"db[27,1]"
"db[28,1]",0.25060000869583,0.0700192106563427,0.11289864455069,0.20341468290323,0.25068270762382,0.297685588442168,0.386725561111043,1.00000990812569,40000,0,1,"db[28,1]"
"db[29,1]",0.250202258397882,0.0699575507688359,0.112493636155017,0.202979901494379,0.249855642518156,0.297397923817336,0.386947520194146,1.00003167648936,36673,0,1,"db[29,1]"
"db[30,1]",0.24951774034764,0.0695554670978821,0.113617739200396,0.20260233264541,0.249018243256997,0.296518015030488,0.385920143243079,0.999965833658152,40000,0,1,"db[30,1]"
"db[31,1]",0.250086513790645,0.0694110035479747,0.114053182244984,0.203427970411386,0.250058701509209,0.297137629644164,0.385599104459605,1.00004586253801,29943,0,1,"db[31,1]"
"db[32,1]",0.250324670930079,0.0698149276800556,0.112949526640779,0.203400096237973,0.250741134907725,0.297042859495717,0.386883517231203,0.999987238357662,40000,0,1,"db[32,1]"
"db[33,1]",0.250191017827284,0.0698066055555467,0.112567306519879,0.203540082283428,0.249545408603634,0.29763142294394,0.386316896825583,1.00003433100383,35529,0,1,"db[33,1]"
"db[34,1]",0.250386768535957,0.0700835390476138,0.111208031586277,0.20300594403925,0.250546332518688,0.298108355601246,0.386688463495284,1.00006446074967,22855,0,1,"db[34,1]"
"db[35,1]",0.249623333319485,0.0696378547642392,0.113834138169647,0.202491834442003,0.24945651738294,0.296309535282662,0.388326253812169,1.00000210090602,40000,0,1,"db[35,1]"
"db[36,1]",0.250255116951668,0.0701219593966605,0.112460642592283,0.202909391342462,0.250403851669368,0.297683175656387,0.387681229458709,1.00005871772387,40000,0,1,"db[36,1]"
"db[37,1]",0.24931708511539,0.0699690627207732,0.112452476611238,0.202086018735164,0.249322629776736,0.29657866641351,0.386420815926388,1.00005629803422,31377,0,1,"db[37,1]"
"db[38,1]",0.25078507929001,0.0702723025626018,0.112943756763965,0.203467907425171,0.250680611617755,0.298060188871461,0.389510285803648,1.0000520083279,24858,0,1,"db[38,1]"
"db[39,1]",0.250511985895847,0.0704434982679935,0.1125864553517,0.203221148067077,0.250157724754158,0.298119473129253,0.389426848546484,1.00001240482873,40000,0,1,"db[39,1]"
"db[40,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[40,1]"
"db[1,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[1,2]"
"db[2,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[2,2]"
"db[3,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[3,2]"
"db[4,2]",0.249631599707753,0.0699273419529566,0.11288647956833,0.202108405728459,0.249491973977285,0.29665110547512,0.387193221786183,1.00003817004641,36922,0,1,"db[4,2]"
"db[5,2]",0.250083865898372,0.0697282509584946,0.112460505764753,0.203794345792223,0.250423862650503,0.297435632319434,0.384745082712254,0.999981655866173,40000,0,1,"db[5,2]"
"db[6,2]",0.250283892601733,0.0700200782986205,0.114003068599981,0.202899474773398,0.24994310502684,0.297686471104067,0.387248591226815,0.999993428722517,40000,0,1,"db[6,2]"
"db[7,2]",0.249442843050312,0.0698605675705765,0.112580967947541,0.202580705366078,0.249535168240325,0.296521484915262,0.386518937441841,1.00008641799391,27554,0,1,"db[7,2]"
"db[8,2]",0.24992240651004,0.0700437642328162,0.112948146236468,0.202774104202906,0.249856869003631,0.297153167783889,0.386442617188685,0.999963324245223,40000,0,1,"db[8,2]"
"db[9,2]",0.249641562655365,0.0701191099585852,0.112576849553405,0.201959050601079,0.249663025677291,0.296922903362605,0.387501468101044,1.00001458484246,40000,0,1,"db[9,2]"
"db[10,2]",0.249639509701945,0.0701646164993352,0.111454142341764,0.202027060860257,0.249718327382529,0.297035479454621,0.387182456763758,1.00001744212482,40000,0,1,"db[10,2]"
