"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"loglam",2.10370630917926,0.244981749776002,1.57189570894159,1.94983111918458,2.10144967258979,2.27204825387226,2.56072638392989,1.07351074696926,37,0,1,"loglam"
"lam.site[1]",1.58902666356681,0.251502540511946,1.12042864072427,1.42007632097596,1.58679189411683,1.7472716788911,2.12174248218934,1.0707097220177,38,0,1,"lam.site[1]"
"lam.site[2]",1.53741964015968,0.249296341782662,1.07564080588963,1.3695680444022,1.53130595063637,1.69480044553811,2.06537878765005,1.07117094432918,37,0,1,"lam.site[2]"
"lam.site[3]",1.00745479236738,0.253700869225699,0.529701306570706,0.84067397586291,1.0013958124922,1.16972710058496,1.53154313668517,1.06103568868947,43,0,1,"lam.site[3]"
"lam.site[4]",1.60996940508412,0.248375793055292,1.13376475968767,1.44137527742146,1.61101137004931,1.76806342972612,2.1310874964676,1.07042947448142,38,0,1,"lam.site[4]"
"lam.site[5]",1.36554853838652,0.252229878882376,0.89208997602457,1.19102166786359,1.36780809014843,1.52701699511435,1.88396758101249,1.06678168863106,40,0,1,"lam.site[5]"
"lam.site[6]",0.810151359711935,0.256387958863848,0.335811124626109,0.635789050860094,0.811499155533461,0.975851260309809,1.35946050527416,1.06294455054992,42,0,0.999333333333333,"lam.site[6]"
"lam.site[7]",0.614095808877856,0.257107307913982,0.129407505431418,0.439846999226563,0.612365031329954,0.780250586830916,1.14349530626667,1.064476733859,42,0,0.995333333333333,"lam.site[7]"
"lam.site[8]",1.44906376161958,0.251003341126571,0.97741218380116,1.28163844402169,1.44481518375987,1.60838581544979,1.98447812216756,1.07044843374909,39,0,1,"lam.site[8]"
"lam.site[9]",1.13473683083384,0.250158607654484,0.656690265108848,0.968535428475232,1.13384884766546,1.28935128382833,1.6553069014095,1.06388046785431,42,0,1,"lam.site[9]"
"lam.site[10]",1.71164004108922,0.249564006351209,1.25184788974186,1.5438854264865,1.71199411616768,1.8755358850449,2.22974128829197,1.07791568514539,34,0,1,"lam.site[10]"
"lam.site[11]",0.834196340723798,0.258261571710208,0.349667324295098,0.654101101710836,0.831534735929752,1.00009855128741,1.36006196307617,1.07291423802382,36,0,1,"lam.site[11]"
"lam.site[12]",1.50493448650531,0.250937546878141,1.02945304099113,1.33009806308452,1.50493339209808,1.66537555362931,2.03360161433192,1.07501251343721,36,0,1,"lam.site[12]"
"lam.site[13]",1.08671169914472,0.255073282927898,0.607399954343383,0.917140232365968,1.0853057709528,1.25043396925826,1.62182886379162,1.0732517037816,37,0,1,"lam.site[13]"
"lam.site[14]",2.15458578811056,0.246275654707445,1.69347829632949,1.98151667309154,2.15266275470069,2.30895021878448,2.67996178967816,1.07325785935887,37,0,1,"lam.site[14]"
"lam.site[15]",0.773228027530178,0.261547088118394,0.272449720397606,0.596593749506391,0.76585419439379,0.942840002584775,1.32005995217862,1.06422109031384,41,0,1,"lam.site[15]"
"lam.site[16]",1.57990797382111,0.2477446333902,1.11022084763158,1.40999714659694,1.57841716870751,1.74029767105165,2.1008933345562,1.06769876943854,40,0,1,"lam.site[16]"
"lam.site[17]",0.302650096244074,0.262272352837954,-0.201371031322088,0.125504043218729,0.298537854934574,0.47378265551282,0.85160874351333,1.05847458252293,46,1,0.877333333333333,"lam.site[17]"
"lam.site[18]",1.42337455789925,0.249926002834741,0.951994995099753,1.25210542232893,1.42289777178971,1.57965138577391,1.95769793495759,1.06719008757379,40,0,1,"lam.site[18]"
"lam.site[19]",0.541942008617,0.261318717519099,0.0550459863626346,0.362938866665588,0.540071181023852,0.715672051821,1.07979720057392,1.06099577760654,42,0,0.986666666666667,"lam.site[19]"
"lam.site[20]",1.75926324899842,0.247882542585449,1.29894889392244,1.58948530084145,1.75822404444913,1.91539800359952,2.28550015425245,1.0670101451426,41,0,1,"lam.site[20]"
"lam.site[21]",-0.0980716836579294,0.274882962445729,-0.612938914409588,-0.277245443100386,-0.108578310572061,0.0809662925441665,0.473436010241438,1.05361618537067,46,1,0.645333333333333,"lam.site[21]"
"lam.site[22]",2.137090745652,0.246070718303995,1.67506135182121,1.96940050518489,2.13667753651523,2.29432075616639,2.66570281735494,1.07184791441826,38,0,1,"lam.site[22]"
"lam.site[23]",1.47086287550531,0.249905944871128,1.00377512198832,1.30435567290756,1.46980666736522,1.6295038774252,1.99947144865856,1.06511589719007,40,0,1,"lam.site[23]"
"lam.site[24]",2.02832347315858,0.247946396427491,1.5569173153223,1.85380711699249,2.0268181990116,2.18785743833706,2.55576505272196,1.0701059578047,38,0,1,"lam.site[24]"
"lam.site[25]",1.91127363404936,0.247503121403518,1.45193075052278,1.74686464141478,1.91208336843214,2.06723523739235,2.42568330718645,1.07406356049986,37,0,1,"lam.site[25]"
"lam.site[26]",1.28809720219695,0.249395427683345,0.814513558506938,1.11764940370822,1.28651299713831,1.44627889145926,1.81191956986381,1.0669973874407,39,0,1,"lam.site[26]"
"lam.site[27]",1.00661220102391,0.255162073907995,0.532504432058065,0.829587701988649,1.00352937218334,1.17294187256557,1.5331256286012,1.06678697333529,39,0,1,"lam.site[27]"
"lam.site[28]",1.60792409364513,0.250667602493996,1.13025036461085,1.43709877171113,1.61120053651542,1.76812825686072,2.15456270465781,1.06806078289142,40,0,1,"lam.site[28]"
"lam.site[29]",2.11377309683662,0.247073350388541,1.64333613961247,1.94088032927911,2.11753784444801,2.26937852063722,2.63737770530936,1.07501972975294,37,0,1,"lam.site[29]"
"lam.site[30]",1.36340496532394,0.252524863809741,0.879494101068852,1.18899863100817,1.3596844489268,1.52235887931172,1.89858359285314,1.07185031944788,38,0,1,"lam.site[30]"
