"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"db[30,1]",0.24969094526249,0.070174929822867,0.112717731029197,0.202198281011229,0.249823728051386,0.297092044814051,0.387600445365843,0.999992980887668,40000,0,1,"db[30,1]"
"db[31,1]",0.250171720557338,0.0699296389619364,0.113613938941483,0.202636480463512,0.250048170415915,0.297519494291014,0.386896637290717,1.00000682969624,40000,0,1,"db[31,1]"
"db[32,1]",0.25006924571258,0.0697730218859545,0.112202174779517,0.203015161077008,0.250057246046841,0.297053664284659,0.386081936494896,1.00007253794411,29744,0,1,"db[32,1]"
"db[33,1]",0.249562839256066,0.0700313686225953,0.112608953482764,0.201991772264311,0.249602270234273,0.296353046715723,0.387623084150445,1.00000517156995,40000,0,1,"db[33,1]"
"db[34,1]",0.249941458848835,0.0702143417354567,0.113504748194932,0.202425570850616,0.249409575328855,0.297508834933978,0.387956831584146,0.999974283324019,40000,0,1,"db[34,1]"
"db[35,1]",0.250158439632043,0.0701968787691688,0.111966708509162,0.202604399422672,0.250210085840271,0.297767773789041,0.387612120835576,1.00003438365793,40000,0,1,"db[35,1]"
"db[36,1]",0.250179741457156,0.0704470494537006,0.111335999611669,0.202752089875803,0.250349832936025,0.297869550977424,0.387948323797568,0.999970456223846,40000,0,1,"db[36,1]"
"db[37,1]",0.250286810993412,0.069628055927219,0.114681788478447,0.20308299824462,0.24996969118213,0.297152186622874,0.388147017811715,1.00002398656423,40000,0,1,"db[37,1]"
"db[38,1]",0.250351491728811,0.0697077006585952,0.11448174666891,0.203464142560054,0.249794843091165,0.297333833406142,0.387482525957486,1.00012168046915,22649,0,1,"db[38,1]"
"db[39,1]",0.249711825698644,0.0698194841830355,0.113303166027661,0.202254958884876,0.249911777335872,0.297474148644753,0.385970716071237,1.00007409855065,24195,0,1,"db[39,1]"
"db[40,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[40,1]"
"db[1,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[1,2]"
"db[2,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[2,2]"
"db[3,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[3,2]"
"db[4,2]",0.249797584507639,0.0703492897304902,0.111260698851097,0.202316666329751,0.250079554778308,0.29700787837281,0.387731185233844,0.999990409321262,40000,0,1,"db[4,2]"
"db[5,2]",0.249943802918696,0.0695183005157709,0.113918336880981,0.203008756915612,0.249649839626683,0.296627641636015,0.386792220469327,1.00004809185569,30752,0,1,"db[5,2]"
"db[6,2]",0.250511993011072,0.0698149677367399,0.114016381267435,0.203280156926744,0.249945216615003,0.29764556916294,0.387873970911904,1.00009417197074,17602,0,1,"db[6,2]"
"db[7,2]",0.250091554595376,0.0690851114830187,0.114087266989487,0.203501083932135,0.25060398075138,0.296682344875608,0.385616323227081,0.999987422459573,40000,0,1,"db[7,2]"
"db[8,2]",0.24998972253378,0.0700740508485157,0.112770159272699,0.202835574835467,0.249644846600661,0.297295051328866,0.386898907425082,1.00012234862026,24858,0,1,"db[8,2]"
"db[9,2]",0.250149105906966,0.0699992421359182,0.113730741097652,0.202922714230868,0.249858651623361,0.29737240806282,0.388582015683051,1.00009469525157,20280,0,1,"db[9,2]"
"db[10,2]",0.250421181504055,0.0706193688289359,0.111522133255304,0.20302262599969,0.250780663488691,0.297988219985924,0.389818569751601,1.00000831922192,40000,0,1,"db[10,2]"
"db[11,2]",0.25021536613451,0.0695435404265301,0.113810776425252,0.203419099494603,0.249856659177914,0.296950932888476,0.387773732907422,1.00003257954896,33307,0,1,"db[11,2]"
"db[12,2]",0.2509820525868,0.069692934891781,0.115224144329456,0.2037568550555,0.250853462055008,0.298039357231012,0.387446111852599,1.0000385476314,31307,0,1,"db[12,2]"
"db[13,2]",0.249534585879069,0.0694247428434357,0.112343418581346,0.202332447044135,0.249272531812795,0.296223372246163,0.386162394831071,1.00003876351719,31627,0,1,"db[13,2]"
"db[14,2]",0.249663045372244,0.0700131356494425,0.113185749182707,0.202095235633184,0.249450956718909,0.296602510557328,0.388104402733987,0.999964915588362,40000,0,1,"db[14,2]"
"db[15,2]",0.250109061807204,0.070180278949867,0.112631637169651,0.202571696490073,0.250262133937957,0.297437075365558,0.386908411913847,1.0000132975727,40000,0,1,"db[15,2]"
"db[16,2]",0.251233569444943,0.0698328598567096,0.11563274018281,0.203562008528466,0.250762779210057,0.298287978361544,0.390712290358146,1.00009841226067,30530,0,1,"db[16,2]"
"db[17,2]",0.249460782331573,0.0698618615124133,0.113005664689381,0.201916319595835,0.249684947874718,0.297020709134256,0.38635331568206,1.00004547993429,31991,0,1,"db[17,2]"
"db[18,2]",0.249946557037309,0.0697178550658427,0.112704504442914,0.2032878335922,0.249717501542485,0.297261491909877,0.386822556646045,1.00003541222484,40000,0,1,"db[18,2]"
"db[19,2]",0.251077806317923,0.0699574219240173,0.113683503832801,0.203762147769778,0.250814516006205,0.29846606042115,0.387961595331372,1.00000194632138,40000,0,1,"db[19,2]"
"db[20,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[20,2]"
"db[21,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[21,2]"
"db[22,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[22,2]"
"db[23,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[23,2]"
"db[24,2]",0.249915860035281,0.0701715462405354,0.111643531516245,0.203098726588594,0.249506651286449,0.297244734057982,0.385661935027854,0.999986740603507,40000,0,1,"db[24,2]"
"db[25,2]",0.249616215897649,0.0703748993666671,0.111835599788511,0.201693166946755,0.249358995604419,0.297317907636235,0.386800266609701,1.00012127474766,20702,0,1,"db[25,2]"
"db[26,2]",0.250223686596363,0.0700622575945152,0.113318842493788,0.202951729622351,0.250138918074483,0.297647460710673,0.387731888320733,1.00012160254465,40000,0,1,"db[26,2]"
"db[27,2]",0.25029010116399,0.0701987822404433,0.111830512470362,0.203129345132305,0.25023741123871,0.297362412520801,0.387122349747509,1.00008887223856,19061,0,1,"db[27,2]"
"db[28,2]",0.250313121145263,0.0705752652337466,0.111136798633276,0.202954885131159,0.250475710847766,0.298104702326481,0.38846542426236,1.00007057452655,40000,0,1,"db[28,2]"
"db[29,2]",0.250047408273135,0.0702343048837235,0.112148686267798,0.202847995971451,0.249892913001353,0.297234608526738,0.387640241733765,0.999977493475889,40000,0,1,"db[29,2]"
"db[30,2]",0.250327876621485,0.0697900050990176,0.113113590894127,0.203331502399007,0.250200602342648,0.297638121056708,0.387585500057322,0.999987141701504,40000,0,1,"db[30,2]"
"db[31,2]",0.250630513110773,0.0699892740871217,0.112482053286515,0.203158554758831,0.250740994892166,0.297624920674611,0.387247380010433,0.999994652758333,40000,0,1,"db[31,2]"
"db[32,2]",0.249853499802351,0.0697092664307068,0.113257300349182,0.202886903120285,0.249999059977504,0.296820951526419,0.386593926622341,1.00002002885908,40000,0,1,"db[32,2]"
"db[33,2]",0.250292557203497,0.0701204351424222,0.110730167031367,0.203196944343901,0.250551141613874,0.2978909701718,0.386890792883094,1.00009089702225,22704,0,1,"db[33,2]"
"db[34,2]",0.249739480651951,0.0697719157585048,0.114251921468211,0.202603375221031,0.249544800324497,0.296854645516642,0.386679973462339,0.99997021234719,40000,0,1,"db[34,2]"
"db[35,2]",0.249904896316298,0.0698856195903085,0.112686617023732,0.20291292234194,0.249778107937433,0.297253658311308,0.386766250562094,1.0000321094552,40000,0,1,"db[35,2]"
"db[36,2]",0.250109272079685,0.0700808757808384,0.113109103833838,0.20288554701092,0.250120881206357,0.297623853051586,0.387042702302651,1.00010844545346,20225,0,1,"db[36,2]"
"db[37,2]",0.250127539204536,0.0697253352873786,0.113352323841783,0.202870662775633,0.250199612694206,0.296941396563405,0.387002001186761,1.00000144681326,40000,0,1,"db[37,2]"
"db[38,2]",0.249707901512331,0.0701351984435854,0.111497191817545,0.202920101293018,0.250060533471303,0.297241542159981,0.386408149235505,1.00005713779567,26715,0,1,"db[38,2]"
"db[39,2]",0.249382408296281,0.070139171892887,0.111844392389453,0.20237161167082,0.249184108931586,0.296680991190882,0.388361906620694,1.00002055460388,40000,0,1,"db[39,2]"
"db[40,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[40,2]"
"db[1,3]",0,0,0,0,0,0,0,NA,1,1,1,"db[1,3]"
"db[2,3]",0,0,0,0,0,0,0,NA,1,1,1,"db[2,3]"
"db[3,3]",0,0,0,0,0,0,0,NA,1,1,1,"db[3,3]"
"db[4,3]",0.249807245790048,0.0696633944468793,0.113109251852257,0.202743847872427,0.249707554631468,0.296518959490294,0.386243964510257,1.00000718588798,40000,0,1,"db[4,3]"
"db[5,3]",0.250249315074697,0.070041236517981,0.112170660678417,0.203146317393805,0.250386070463244,0.297296406556694,0.388754863206916,0.999989697768638,40000,0,1,"db[5,3]"
"db[6,3]",0.250054672705586,0.0697160854334158,0.112375671611364,0.203371009694384,0.249896556529804,0.296790720631747,0.386558871275241,1.00016670624769,11980,0,1,"db[6,3]"
"db[7,3]",0.249432714323639,0.0698980314170345,0.11182781625328,0.202695293191164,0.24984750901752,0.296489458646115,0.386990547056853,1.00004179771337,36773,0,1,"db[7,3]"
"db[8,3]",0.250366356601616,0.0697937870850175,0.112886799433356,0.203285598234024,0.250441925881404,0.297378063531072,0.388010919292305,1.00002010364786,40000,0,1,"db[8,3]"
"db[9,3]",0.250332829555934,0.0696615869219862,0.113729635887857,0.203089518209513,0.249863104022027,0.297438845181827,0.388069499533951,1.00020658406485,25174,0,1,"db[9,3]"
"db[10,3]",0.250048416662418,0.0700851233761696,0.113428419829533,0.202996385676512,0.249972801960512,0.297174089110772,0.388729710238512,1.00001941370559,40000,0,1,"db[10,3]"
"db[11,3]",0.250168318519794,0.0694690448061894,0.114521358912682,0.203229485549169,0.250036842617642,0.296501119336939,0.386382435750023,1.00015509184921,14802,0,1,"db[11,3]"
"db[12,3]",0.249835752988633,0.0698820935897741,0.11290933118634,0.202644275079376,0.250151828700331,0.296921655362005,0.387040106592895,0.999968227349684,40000,0,1,"db[12,3]"
"db[13,3]",0.250240451726544,0.0703841462771762,0.112124751497806,0.202688694434326,0.24987475307655,0.297707162969144,0.388457849888987,0.999994223135214,40000,0,1,"db[13,3]"
"db[14,3]",0.249898807087854,0.070045510773359,0.112201984173514,0.203307723317837,0.249951593375842,0.29734806781662,0.386568741175518,0.999982811629274,40000,0,1,"db[14,3]"
"db[15,3]",0.250486592576055,0.0693889240291242,0.114078875212384,0.20371467699587,0.250743843380159,0.29732437515156,0.385858172531466,1.00005186351314,27441,0,1,"db[15,3]"
