"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"db[5,1]",0.250287514513195,0.0699091236378759,0.112926280036166,0.203040152060756,0.2503455461014,0.297361488040311,0.387932621016138,1.00005340502083,25793,0,1,"db[5,1]"
"db[6,1]",0.249646593379658,0.0694174444468571,0.114987355120399,0.203117082985432,0.249406330668773,0.296239800087566,0.386399254812485,1.00000865256163,40000,0,1,"db[6,1]"
"db[7,1]",0.249762438735013,0.069757766782011,0.112117612185923,0.202961929603301,0.249175786927294,0.296760811724627,0.387164903536462,0.999977158584867,40000,0,1,"db[7,1]"
"db[8,1]",0.250468416661168,0.0698242130724803,0.113768973999289,0.203035150461872,0.250789879968759,0.297813342810556,0.38685002190253,1.00009337700362,25334,0,1,"db[8,1]"
"db[9,1]",0.250442307731577,0.0698099569081363,0.113042858030004,0.203424023895212,0.250061255543389,0.297348203647742,0.387791017614697,0.999999870703578,40000,0,1,"db[9,1]"
"db[10,1]",0.250256905286456,0.0700521609195883,0.112863173328292,0.203231728477187,0.250333019207664,0.297603777785222,0.387728978972517,1.00002776458627,35092,0,1,"db[10,1]"
"db[11,1]",0.250412951969531,0.0698231080978121,0.114005469049779,0.203035533000053,0.250086778244303,0.297591673178332,0.387373265627166,1.00012108041099,28109,0,1,"db[11,1]"
"db[12,1]",0.250109137695115,0.0701807802611585,0.112602088398581,0.202724973580843,0.249641542146783,0.297202362193487,0.388581856542494,1.00006018007944,26272,0,1,"db[12,1]"
"db[13,1]",0.249541558378565,0.0695891233474358,0.112650199972414,0.202083437208115,0.249739636184171,0.296282653428083,0.386820536333157,1.00008392704262,25176,0,1,"db[13,1]"
"db[14,1]",0.250769188894671,0.0698585723351606,0.114064899620288,0.203276371254051,0.251183919777647,0.298164502393104,0.387915675204888,1.00002132497666,40000,0,1,"db[14,1]"
"db[15,1]",0.250367522972402,0.0701441149881075,0.112477816592514,0.202851539770755,0.250285956341514,0.297728119017256,0.387795170531118,0.999977202017858,40000,0,1,"db[15,1]"
"db[16,1]",0.250255238643378,0.0700009422348644,0.111886792119775,0.20302644167589,0.250437257998459,0.297436079962605,0.387708700403155,1.00005221047476,36945,0,1,"db[16,1]"
"db[17,1]",0.250902695672797,0.0699235602966899,0.113519430782458,0.203134562841587,0.250644081284781,0.29799244285802,0.387681210361036,1.00014343137308,14510,0,1,"db[17,1]"
"db[18,1]",0.250508930189272,0.0700931356136917,0.112775485228812,0.203296307493251,0.251039230912857,0.297983090029128,0.38753890204517,1.00012191721454,18687,0,1,"db[18,1]"
"db[19,1]",0.250836847301612,0.0701758384283946,0.11361072272331,0.203456300430288,0.251073497261274,0.297925556994299,0.389065377925792,1.00011189333308,16463,0,1,"db[19,1]"
"db[20,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[20,1]"
"db[21,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[21,1]"
"db[22,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[22,1]"
"db[23,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[23,1]"
"db[24,1]",0.249833900424926,0.0699593352181406,0.11288545507841,0.20258861465146,0.249386018362021,0.297404233659994,0.388278447135178,1.00000493685125,40000,0,1,"db[24,1]"
"db[25,1]",0.250312240504832,0.0699743326961484,0.113533275446334,0.202410796706459,0.250954914445257,0.296777647281852,0.387097969800324,1.00013545733905,16448,0,1,"db[25,1]"
"db[26,1]",0.249951985346482,0.0701250650887222,0.113079146180422,0.202444513665366,0.249242752856534,0.297092231026305,0.388037041360479,1.00006780377749,40000,0,1,"db[26,1]"
"db[27,1]",0.250075846358759,0.0702692527359895,0.112116401919717,0.202717324190399,0.249667983475222,0.29755703441145,0.386863232926983,0.999982529129512,40000,0,1,"db[27,1]"
"db[28,1]",0.250303673969113,0.0700178160696593,0.112829061132303,0.203215052735911,0.250025112742578,0.297630931885363,0.38733873413241,1.00001845794756,40000,0,1,"db[28,1]"
"db[29,1]",0.250372160052982,0.070037038060835,0.112841646040235,0.202619835543175,0.250406974514861,0.29833601572699,0.387684053550649,1.00021275119449,10223,0,1,"db[29,1]"
"db[30,1]",0.249607783111512,0.0698362658584823,0.11289523944969,0.202286463336825,0.249599068355626,0.296064356902957,0.386513434838069,0.999987355923236,40000,0,1,"db[30,1]"
"db[31,1]",0.250204320750573,0.0697401150763655,0.114181292638178,0.20275811384586,0.250744429306538,0.297691395291994,0.385263564164935,1.00001406473079,40000,0,1,"db[31,1]"
"db[32,1]",0.249589753983259,0.070161422249318,0.109182278674522,0.202734622585092,0.249872710338335,0.297204578821659,0.385746067913167,1.00008302036814,27228,0,1,"db[32,1]"
"db[33,1]",0.250083631714628,0.0703081116803415,0.112147680293855,0.202965507321513,0.250470277298088,0.297157406932404,0.38753716926448,0.999994304898423,40000,0,1,"db[33,1]"
"db[34,1]",0.250451209819373,0.0693981227138143,0.112735322747223,0.203787934902042,0.250753420552789,0.296963169765533,0.386365056293226,1.00002979314765,40000,0,1,"db[34,1]"
"db[35,1]",0.249811001469368,0.0695939392240404,0.113556943350186,0.203005632397097,0.249578006701882,0.296662334821519,0.386529740700958,1.00004386044235,40000,0,1,"db[35,1]"
"db[36,1]",0.250290468816728,0.0698607792572438,0.113831611659949,0.202670392545785,0.250284975941718,0.297420524180156,0.388066023894329,0.999994200347481,40000,0,1,"db[36,1]"
"db[37,1]",0.250224952254493,0.0695762257393731,0.112918463042182,0.203670244122545,0.250084799736523,0.297168213004217,0.386314199554279,0.999996394155184,40000,0,1,"db[37,1]"
"db[38,1]",0.249910063722642,0.0698387111296425,0.112601743047583,0.20287240360806,0.2499268569538,0.29719882320222,0.386206964136869,1.00003201019708,40000,0,1,"db[38,1]"
"db[39,1]",0.250260053132525,0.06996387052518,0.114115645727814,0.20244441016719,0.250019540656632,0.297509965198051,0.387950247906783,1.00007254744195,22165,0,1,"db[39,1]"
"db[40,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[40,1]"
"db[41,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[41,1]"
"db[42,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[42,1]"
"db[43,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[43,1]"
"db[44,1]",0.249564099439969,0.069810710322822,0.111910762499865,0.202696869798082,0.249614164952508,0.296689754894507,0.386114420095331,1.00005065572976,29078,0,1,"db[44,1]"
"db[45,1]",0.250521472030441,0.0698126821634075,0.11436166893849,0.203208707075914,0.250633814901305,0.297799389525267,0.386948143993511,1.00007822636995,28044,0,1,"db[45,1]"
"db[46,1]",0.250137779860115,0.0698857971124319,0.114064973085625,0.202597819881637,0.249725131718734,0.296913357595475,0.388366445943512,0.999991620441912,40000,0,1,"db[46,1]"
"db[47,1]",0.250567512212758,0.0700979802422007,0.113457883487144,0.203398644271581,0.250588176516029,0.297975073224865,0.386799092010364,1.00000944771214,40000,0,1,"db[47,1]"
"db[48,1]",0.250184956272946,0.0698501737965239,0.113272840000217,0.203035176417391,0.250179026476364,0.297308871942992,0.387397139571684,1.0002159480264,11718,0,1,"db[48,1]"
"db[49,1]",0.249779374863527,0.0698491527849758,0.112459087024316,0.202533173250878,0.249465369862222,0.297455425068015,0.386100094993051,0.999967336722144,40000,0,1,"db[49,1]"
"db[50,1]",0.250022747650631,0.0699701902034844,0.112736271934892,0.20272931976018,0.250144843754752,0.296785030971761,0.387246873565166,1.00004346420804,40000,0,1,"db[50,1]"
"db[51,1]",0.250678598713474,0.070265528981421,0.112980553901529,0.203064762723839,0.250613989820404,0.298246067585997,0.387464838497279,1.00000811951855,40000,0,1,"db[51,1]"
"db[52,1]",0.25033262364723,0.0700207179786438,0.11241191514599,0.203217838737169,0.250463958236056,0.297422634484673,0.388125666396128,1.00003413664269,40000,0,1,"db[52,1]"
"db[53,1]",0.25016481186492,0.069755147890557,0.112899743163568,0.203022351604149,0.250399408951084,0.297526762679369,0.386257169534775,1.00002942266949,37211,0,1,"db[53,1]"
"db[54,1]",0.249873194715843,0.0698911436083897,0.113099062149659,0.202602109679199,0.249939041887079,0.296882198635967,0.386527087171439,1.00009692050788,40000,0,1,"db[54,1]"
"db[55,1]",0.249816790008892,0.0700424221021146,0.112059731586602,0.202604293438036,0.249890898694759,0.297130939266983,0.386755372416425,1.0000935074336,19769,0,1,"db[55,1]"
"db[56,1]",0.250421217637494,0.0701236891683135,0.111625514889307,0.203672700790476,0.250382226788675,0.29785175279419,0.388243195514513,1.00006512616071,23555,0,1,"db[56,1]"
"db[57,1]",0.250206332525542,0.0698801658665867,0.113301260166976,0.202973782992943,0.249780286719338,0.297358814795097,0.388266054399256,0.999989726382692,40000,0,1,"db[57,1]"
"db[58,1]",0.250205341744427,0.0702563310049112,0.111894663703691,0.203006823868712,0.250402760169108,0.297430398183206,0.388336321156777,0.999999078518448,40000,0,1,"db[58,1]"
"db[59,1]",0.250797298045521,0.0692697320314521,0.115938725584503,0.203816898660514,0.250926095486076,0.297611722413586,0.38560158206261,0.999973890195193,40000,0,1,"db[59,1]"
"db[60,1]",0,0,0,0,0,0,0,NA,1,1,1,"db[60,1]"
"db[1,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[1,2]"
"db[2,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[2,2]"
"db[3,2]",0,0,0,0,0,0,0,NA,1,1,1,"db[3,2]"
"db[4,2]",0.24944516265353,0.0698833277570617,0.111590945344391,0.202181351966835,0.25031839497564,0.296296759377763,0.386670674874725,0.999972852693559,40000,0,1,"db[4,2]"
"db[5,2]",0.249897256072735,0.0698337856123637,0.112479287476063,0.202700293355887,0.250343980279462,0.296991088370897,0.387166762627061,1.00010395936636,24648,0,1,"db[5,2]"
"db[6,2]",0.24999452306762,0.0698102153502027,0.11270237147202,0.202905441950316,0.249930518400597,0.296947665464501,0.387116035627945,1.00003409263376,33253,0,1,"db[6,2]"
"db[7,2]",0.249781357192416,0.0701726393192208,0.112705963333453,0.202454354545668,0.249626619626803,0.297119694075168,0.38744817607292,1.00007411367343,25038,0,1,"db[7,2]"
"db[8,2]",0.249624401404895,0.0700548591624649,0.112475335752932,0.202381010099137,0.249415313009668,0.29697418416947,0.388625587200115,1.0000811232435,22795,0,1,"db[8,2]"
"db[9,2]",0.25011205541568,0.069586289604286,0.11320213778043,0.203312301403718,0.250011557503892,0.297189747276887,0.385653038589282,1.0000158811505,40000,0,1,"db[9,2]"
