"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[14,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[14,3]"
"Ntot[15,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[15,3]"
"Ntot[16,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[16,3]"
"Ntot[17,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[17,3]"
"Ntot[18,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[18,3]"
"Ntot[19,3]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[19,3]"
"Ntot[20,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[20,3]"
"Ntot[21,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[21,3]"
"Ntot[22,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[22,3]"
"Ntot[23,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[23,3]"
"Ntot[24,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[24,3]"
"Ntot[25,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[25,3]"
"Ntot[26,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[26,3]"
"Ntot[27,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[27,3]"
"Ntot[28,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[28,3]"
"Ntot[29,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[29,3]"
"Ntot[30,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[30,3]"
"Ntot[31,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[31,3]"
"Ntot[32,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[32,3]"
"Ntot[33,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[33,3]"
"Ntot[34,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[34,3]"
"Ntot[35,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[35,3]"
"Ntot[36,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[36,3]"
"Ntot[37,3]",130.13805,12.330676921294,107,122,130,138,155,1.00006729267398,40000,0,1,"Ntot[37,3]"
"Ntot[38,3]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[38,3]"
"Ntot[1,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[1,4]"
"Ntot[2,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[2,4]"
"Ntot[3,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[3,4]"
"Ntot[4,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[4,4]"
"Ntot[5,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[5,4]"
"Ntot[6,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[6,4]"
"Ntot[7,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[7,4]"
"Ntot[8,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[8,4]"
"Ntot[9,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[9,4]"
"Ntot[10,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[10,4]"
"Ntot[11,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[11,4]"
"Ntot[12,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[12,4]"
"Ntot[13,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[13,4]"
"Ntot[14,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[14,4]"
"Ntot[15,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[15,4]"
"Ntot[16,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[16,4]"
"Ntot[17,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[17,4]"
"Ntot[18,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[18,4]"
"Ntot[19,4]",161.520126650047,15.3108560159727,132.868561108581,150.980119836828,160.960126813188,171.387670213075,193.357797797046,1.00003142090093,40000,0,1,"Ntot[19,4]"
"Ntot[20,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[20,4]"
"Ntot[21,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[21,4]"
"Ntot[22,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[22,4]"
"Ntot[23,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[23,4]"
"Ntot[24,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[24,4]"
"Ntot[25,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[25,4]"
"Ntot[26,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[26,4]"
"Ntot[27,4]",125.67115,11.9968081489471,104,117,125,133,151,1.00045998959259,5925,0,1,"Ntot[27,4]"
