"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[1,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[1,1]"
"Ntot[2,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[2,1]"
"Ntot[3,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[3,1]"
"Ntot[4,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[4,1]"
"Ntot[5,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[5,1]"
"Ntot[6,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[6,1]"
"Ntot[7,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[7,1]"
"Ntot[8,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[8,1]"
"Ntot[9,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[9,1]"
"Ntot[10,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[10,1]"
"Ntot[11,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[11,1]"
"Ntot[12,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[12,1]"
"Ntot[13,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[13,1]"
"Ntot[14,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[14,1]"
"Ntot[15,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[15,1]"
"Ntot[16,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[16,1]"
"Ntot[17,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[17,1]"
"Ntot[18,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[18,1]"
"Ntot[20,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[20,1]"
"Ntot[21,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[21,1]"
"Ntot[22,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[22,1]"
"Ntot[23,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[23,1]"
"Ntot[24,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[24,1]"
"Ntot[25,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[25,1]"
"Ntot[26,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[26,1]"
"Ntot[27,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[27,1]"
"Ntot[28,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[28,1]"
"Ntot[29,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[29,1]"
"Ntot[30,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[30,1]"
"Ntot[31,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[31,1]"
"Ntot[32,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[32,1]"
"Ntot[33,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[33,1]"
"Ntot[34,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[34,1]"
"Ntot[35,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[35,1]"
"Ntot[36,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[36,1]"
"Ntot[37,1]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[37,1]"
"Ntot[1,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[1,2]"
"Ntot[2,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[2,2]"
"Ntot[3,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[3,2]"
"Ntot[4,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[4,2]"
"Ntot[5,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[5,2]"
"Ntot[6,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[6,2]"
"Ntot[7,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[7,2]"
"Ntot[8,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[8,2]"
"Ntot[9,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[9,2]"
"Ntot[10,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[10,2]"
"Ntot[11,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[11,2]"
"Ntot[12,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[12,2]"
"Ntot[13,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[13,2]"
"Ntot[14,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[14,2]"
"Ntot[15,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[15,2]"
"Ntot[16,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[16,2]"
"Ntot[17,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[17,2]"
"Ntot[18,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[18,2]"
"Ntot[19,2]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[19,2]"
"Ntot[20,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[20,2]"
"Ntot[21,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[21,2]"
"Ntot[22,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[22,2]"
"Ntot[23,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[23,2]"
"Ntot[24,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[24,2]"
"Ntot[25,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[25,2]"
"Ntot[26,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[26,2]"
"Ntot[27,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[27,2]"
"Ntot[28,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[28,2]"
"Ntot[29,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[29,2]"
"Ntot[30,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[30,2]"
"Ntot[31,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[31,2]"
"Ntot[32,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[32,2]"
"Ntot[33,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[33,2]"
"Ntot[34,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[34,2]"
"Ntot[35,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[35,2]"
"Ntot[36,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[36,2]"
"Ntot[37,2]",145.120925,10.0142053729742,126,138,145,152,165,0.999975186250856,40000,0,1,"Ntot[37,2]"
"Ntot[38,2]",163.831939264467,12.8900147931,139.753705782106,154.916161358798,163.483791751582,172.352132713503,189.901026914603,1.00002420927716,40000,0,1,"Ntot[38,2]"
"Ntot[1,3]",133.099225,8.8521826928637,116,127,133,139,151,1.00001463507043,40000,0,1,"Ntot[1,3]"
"Ntot[2,3]",133.099225,8.8521826928637,116,127,133,139,151,1.00001463507043,40000,0,1,"Ntot[2,3]"
"Ntot[3,3]",133.099225,8.8521826928637,116,127,133,139,151,1.00001463507043,40000,0,1,"Ntot[3,3]"
"Ntot[4,3]",133.099225,8.8521826928637,116,127,133,139,151,1.00001463507043,40000,0,1,"Ntot[4,3]"
"Ntot[5,3]",133.099225,8.8521826928637,116,127,133,139,151,1.00001463507043,40000,0,1,"Ntot[5,3]"
